param,value,test,ms
size,2^8,cpu scan, power-of-two,0.0006
size,2^8,cpu scan, non-power-of-two,0.0001
size,2^8,naive scan, power-of-two,0.187392
size,2^8,naive scan, non-power-of-two,0.053248
size,2^8,work-efficient scan, power-of-two,0.300032
size,2^8,work-efficient scan, non-power-of-two,0.129024
size,2^8,thrust scan, power-of-two,0.104448
size,2^8,thrust scan, non-power-of-two,0.033792
size,2^8,cpu compact without scan, power-of-two,0.0005
size,2^8,cpu compact without scan, non-power-of-two,0.0003
size,2^8,cpu compact with scan,0.0013
size,2^8,work-efficient compact, power-of-two,0.293888
size,2^8,work-efficient compact, non-power-of-two,0.18944
size,2^10,cpu scan, power-of-two,0.0008
size,2^10,cpu scan, non-power-of-two,0.0004
size,2^10,naive scan, power-of-two,0.200544
size,2^10,naive scan, non-power-of-two,0.07168
size,2^10,work-efficient scan, power-of-two,0.280576
size,2^10,work-efficient scan, non-power-of-two,0.17408
size,2^10,thrust scan, power-of-two,0.111616
size,2^10,thrust scan, non-power-of-two,0.04096
size,2^10,cpu compact without scan, power-of-two,0.002
size,2^10,cpu compact without scan, non-power-of-two,0.001
size,2^10,cpu compact with scan,0.0032
size,2^10,work-efficient compact, power-of-two,0.330752
size,2^10,work-efficient compact, non-power-of-two,0.190464
size,2^12,cpu scan, power-of-two,0.002
size,2^12,cpu scan, non-power-of-two,0.0014
size,2^12,naive scan, power-of-two,0.225216
size,2^12,naive scan, non-power-of-two,0.091136
size,2^12,work-efficient scan, power-of-two,0.333824
size,2^12,work-efficient scan, non-power-of-two,0.19456
size,2^12,thrust scan, power-of-two,0.097024
size,2^12,thrust scan, non-power-of-two,0.038912
size,2^12,cpu compact without scan, power-of-two,0.0073
size,2^12,cpu compact without scan, non-power-of-two,0.0045
size,2^12,cpu compact with scan,0.0155
size,2^12,work-efficient compact, power-of-two,0.418816
size,2^12,work-efficient compact, non-power-of-two,0.25312
size,2^14,cpu scan, power-of-two,0.0069
size,2^14,cpu scan, non-power-of-two,0.0057
size,2^14,naive scan, power-of-two,0.24576
size,2^14,naive scan, non-power-of-two,0.109568
size,2^14,work-efficient scan, power-of-two,0.340992
size,2^14,work-efficient scan, non-power-of-two,0.266464
size,2^14,thrust scan, power-of-two,0.108736
size,2^14,thrust scan, non-power-of-two,0.038912
size,2^14,cpu compact without scan, power-of-two,0.0278
size,2^14,cpu compact without scan, non-power-of-two,0.0248
size,2^14,cpu compact with scan,0.0593
size,2^14,work-efficient compact, power-of-two,0.453632
size,2^14,work-efficient compact, non-power-of-two,0.301056
